system,metric,direction,actual_mean,permutation_mean,actual_minus_permutation,favorable_difference,permutation_ci95_low,permutation_ci95_high,one_sided_p
"Vec2Text: predicted qc4wyals ADA, native length",Raw BERTScore F1,higher,0.7661286787553268,0.7633452415466309,0.0027834372086958936,0.0027834372086958936,0.762368556857109,0.7643525093793869,9.99990000099999e-06
"Vec2Text: predicted qc4wyals ADA, native length",BLEU-1,higher,0.02177605845711448,0.017110353335738182,0.004665705121376297,0.004665705121376297,0.012971245590597391,0.021670133387669918,0.022719772802271977
"Vec2Text: predicted qc4wyals ADA, native length",ROUGE-1 F1,higher,0.03486179221760143,0.027936967089772224,0.006924825127829208,0.006924825127829208,0.02197871613316238,0.03429003413766622,0.017099829001709983
T5 prefix: exact-ADA oracle,Content F1,higher,0.24787720766934482,0.011680662631988525,0.2361965450373563,0.2361965450373563,0.003895785630447795,0.021751930424943555,9.99990000099999e-06
T5 prefix: exact-ADA oracle,Word F1,higher,0.3269352306019176,0.06475542485713959,0.262179805744778,0.262179805744778,0.05162523314356804,0.07891300376504659,9.99990000099999e-06
T5 prefix: exact-ADA oracle,WER,lower,0.8663636363636363,0.9838844537734985,-0.1175208174098622,0.1175208174098622,0.975454568862915,0.9909090995788574,9.99990000099999e-06
T5 prefix: exact-ADA oracle,Raw BERTScore F1,higher,0.85599497014826,0.8240572810173035,0.031937689130956515,0.031937689130956515,0.8226712837815284,0.8255914553999901,9.99990000099999e-06
T5 prefix: exact-ADA oracle,BLEU-1,higher,0.31384207985617896,0.06222032755613327,0.2516217523000457,0.2516217523000457,0.04962455844506621,0.07582287099212408,9.99990000099999e-06
T5 prefix: exact-ADA oracle,ROUGE-1 F1,higher,0.3430692499334162,0.07033247500658035,0.27273677492683585,0.27273677492683585,0.05682823397219181,0.08491352573037146,9.99990000099999e-06
"Vec2Text: exact ADA ceiling, 10-word cap",Content F1,higher,0.9754273848100142,0.018545027822256088,0.9568823569877581,0.9568823569877581,0.004312354139983654,0.04054366163909434,9.99990000099999e-06
"Vec2Text: exact ADA ceiling, 10-word cap",Word F1,higher,0.9760127674449574,0.06551887094974518,0.9104938964952122,0.9104938964952122,0.04822966828942299,0.08827751129865646,9.99990000099999e-06
"Vec2Text: exact ADA ceiling, 10-word cap",WER,lower,0.06727272727272728,0.9830072522163391,-0.9157345249436118,0.9157345249436118,0.9618181586265564,0.9954545497894287,9.99990000099999e-06
"Vec2Text: exact ADA ceiling, 10-word cap",Raw BERTScore F1,higher,0.9892216769131748,0.8226130604743958,0.166608616438779,0.166608616438779,0.8200557217001915,0.8265569850802421,9.99990000099999e-06
"Vec2Text: exact ADA ceiling, 10-word cap",BLEU-1,higher,0.9743071122602983,0.06541739404201508,0.9088897182182832,0.9088897182182832,0.0481766052544117,0.08817140758037567,9.99990000099999e-06
"Vec2Text: exact ADA ceiling, 10-word cap",ROUGE-1 F1,higher,0.976526572487571,0.07052531093358994,0.9060012615539811,0.9060012615539811,0.05301748560741544,0.09333294164389372,9.99990000099999e-06
"Vec2Text: exact ADA ceiling, native length",Content F1,higher,0.9753778631036932,0.018648885190486908,0.9567289779132063,0.9567289779132063,0.004707744566258044,0.04062687233090401,9.99990000099999e-06
"Vec2Text: exact ADA ceiling, native length",Word F1,higher,0.9740977200594816,0.06530436873435974,0.9087933513251218,0.9087933513251218,0.04826780650764704,0.08787764459848403,9.99990000099999e-06
"Vec2Text: exact ADA ceiling, native length",WER,lower,0.0809090909090909,1.0138359069824219,-0.932926816073331,0.932926816073331,0.9927272796630859,1.0263636112213135,9.99990000099999e-06
"Vec2Text: exact ADA ceiling, native length",Raw BERTScore F1,higher,0.9890993291681464,0.8224396109580994,0.166659718210047,0.166659718210047,0.8198978304862976,0.8263698354363441,9.99990000099999e-06
"Vec2Text: exact ADA ceiling, native length",BLEU-1,higher,0.9643556768243963,0.06462636590003967,0.8997293109243566,0.8997293109243566,0.04767981376498938,0.08709045164287087,9.99990000099999e-06
"Vec2Text: exact ADA ceiling, native length",ROUGE-1 F1,higher,0.9746115251020951,0.07030215859413147,0.9043093665079637,0.9043093665079637,0.05298596555367112,0.092942513898015,9.99990000099999e-06
